satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,Department
0.38,0.53,2,157,3,0,sales
0.8,0.86,5,262,6,0,sales
0.11,0.88,7,272,4,0,sales
0.72,0.87,5,223,5,0,sales
0.37,0.52,2,159,3,0,sales
0.41,0.5,2,153,3,0,sales
0.1,0.77,6,247,4,0,sales
0.92,0.85,5,259,5,0,sales
0.89,1.0,5,224,5,0,sales
0.42,0.53,2,142,3,0,sales
0.45,0.54,2,135,3,0,sales
0.11,0.81,6,305,4,0,sales
0.84,0.92,4,234,5,0,sales
0.41,0.55,2,148,3,0,sales
0.36,0.56,2,137,3,0,sales
0.38,0.54,2,143,3,0,sales
0.45,0.47,2,160,3,0,sales
0.78,0.99,4,255,6,0,sales
0.45,0.51,2,160,3,1,sales
0.76,0.89,5,262,5,0,sales
0.11,0.83,6,282,4,0,sales
0.38,0.55,2,147,3,0,sales
0.09,0.95,6,304,4,0,sales
0.46,0.57,2,139,3,0,sales
0.4,0.53,2,158,3,0,sales
0.89,0.92,5,242,5,0,sales
0.82,0.87,4,239,5,0,sales
0.4,0.49,2,135,3,0,sales
0.41,0.46,2,128,3,0,accounting
0.38,0.5,2,132,3,0,accounting
0.09,0.62,6,294,4,0,accounting
0.45,0.57,2,134,3,0,hr
0.4,0.51,2,145,3,0,hr
0.45,0.55,2,140,3,0,hr
0.84,0.87,4,246,6,0,hr
0.1,0.94,6,255,4,0,technical
0.38,0.46,2,137,3,0,technical
0.45,0.5,2,126,3,0,technical
0.11,0.89,6,306,4,0,technical
0.41,0.54,2,152,3,0,technical
0.87,0.88,5,269,5,0,technical
0.45,0.48,2,158,3,0,technical
0.4,0.46,2,127,3,0,technical
0.1,0.8,7,281,4,0,technical
0.09,0.89,6,276,4,0,technical
0.84,0.74,3,182,4,0,technical
0.4,0.55,2,147,3,0,support
0.57,0.7,3,273,6,0,support
0.4,0.54,2,148,3,0,support
0.43,0.47,2,147,3,0,support
0.13,0.78,6,152,2,0,support
0.44,0.55,2,135,3,0,support
0.38,0.55,2,134,3,0,support
0.39,0.54,2,132,3,0,support
0.1,0.92,7,307,4,0,support
0.37,0.46,2,140,3,0,support
0.11,0.94,7,255,4,0,support
0.1,0.81,6,309,4,0,technical
0.38,0.54,2,128,3,0,technical
0.85,1.0,4,225,5,0,technical
0.85,0.91,5,226,5,0,management
0.11,0.93,7,308,4,0,IT
0.1,0.95,6,244,5,0,IT
0.36,0.56,2,132,3,0,IT
0.11,0.94,6,286,4,0,IT
0.81,0.7,6,161,4,0,IT
0.43,0.54,2,153,3,0,product_mng
0.9,0.98,4,264,6,0,product_mng
0.76,0.86,5,223,5,1,product_mng
0.43,0.5,2,135,3,0,product_mng
0.74,0.99,2,277,3,0,IT
0.09,0.77,5,275,4,0,product_mng
0.45,0.49,2,149,3,0,product_mng
0.09,0.87,7,295,4,0,product_mng
0.11,0.97,6,277,4,0,product_mng
0.11,0.79,7,306,4,0,product_mng
0.1,0.83,6,295,4,0,product_mng
0.4,0.54,2,137,3,0,marketing
0.43,0.56,2,157,3,0,sales
0.39,0.56,2,142,3,0,accounting
0.45,0.54,2,140,3,0,support
0.38,0.49,2,151,3,0,technical
0.79,0.59,4,139,3,0,management
0.84,0.85,4,249,6,0,marketing
0.11,0.77,6,291,4,0,marketing
0.11,0.87,6,305,4,0,marketing
0.17,0.84,5,232,3,0,sales
0.44,0.45,2,132,3,0,sales
0.37,0.57,2,130,3,0,sales
0.1,0.79,6,291,4,0,sales
0.4,0.5,2,130,3,0,sales
0.89,1.0,5,246,5,0,sales
0.42,0.48,2,143,3,0,sales
0.46,0.55,2,129,3,0,sales
0.09,0.83,6,255,4,0,sales
0.37,0.51,2,155,3,0,sales
0.1,0.77,6,265,4,0,sales
0.1,0.84,6,279,4,0,sales
0.11,0.97,6,284,4,0,sales
0.9,1.0,5,221,6,0,sales
0.38,0.52,2,154,3,0,sales
0.36,0.52,2,147,3,0,sales
0.42,0.46,2,150,3,0,sales
0.09,0.94,7,267,4,0,sales
0.43,0.52,2,158,3,0,sales
0.24,0.46,7,224,5,0,accounting
0.91,1.0,4,257,5,0,accounting
0.44,0.5,2,148,3,0,accounting
0.71,0.87,3,177,4,0,hr
0.4,0.49,2,155,3,0,hr
0.43,0.47,2,144,3,0,hr
0.09,0.85,6,289,4,0,hr
0.43,0.52,2,160,3,0,technical
0.9,0.96,4,258,5,0,technical
